JCT:dynamic:7137650d;2) Modern Ciphers;JCT:A \ Block Ciphers \ Block Ciphers \ DESede_CBC (OID: 1.2.840.113549.3.7)
JCT:dynamic:e769b667;1) Classic Ciphers;JCT:D \ Algorithms \ Classic \ ADFGVX
JCT:dynamic:eabf4d63;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_CBC (OID: 2.16.840.1.101.3.4.1.2)
JCT:dynamic:8e2758b4;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_CFB (OID: 2.16.840.1.101.3.4.1.4)
JCT:dynamic:4a30e9f3;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_ECB (OID: 2.16.840.1.101.3.4.1.1)
JCT:dynamic:b062b837;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES128_OFB (OID: 2.16.840.1.101.3.4.1.3)
JCT:dynamic:81fe3a93;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_CBC (OID: 2.16.840.1.101.3.4.1.22)
JCT:dynamic:3c9155f3;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_CFB (OID: 2.16.840.1.101.3.4.1.24)
JCT:dynamic:e484c152;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_ECB (OID: 2.16.840.1.101.3.4.1.21)
JCT:dynamic:864507a3;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES192_OFB (OID: 2.16.840.1.101.3.4.1.23)
JCT:dynamic:23f994dd;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_CBC (OID: 2.16.840.1.101.3.4.1.42)
JCT:dynamic:28082c36;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_ECB (OID: 2.16.840.1.101.3.4.1.41)
JCT:dynamic:6afbae2c;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_CFB (OID: 2.16.840.1.101.3.4.1.44)
JCT:dynamic:df8c36dc;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ Rijndael \ AES256_CFB (OID: 2.16.840.1.101.3.4.1.43)
JCT:dynamic:475352ef;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Android Unlock Pattern (AUP)
JCT:dynamic:05720e22;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Ant Colony Optimization
JCT:dynamic:9271c536;1) Classic Ciphers;JCT:D \ Algorithms \ Classic \ Autokey Vigenère
JCT:dynamic:c87a421f;1) Classic Ciphers;JCT:D \ Algorithms \ Classic \ Bifid
JCT:dynamic:15faf6b3;5) Random Number Generators;JCT:A \ Pseudo Random Number Generators \ BBSRandom
JCT:dynamic:5d54a096;1) Classic Ciphers;JCT:D \ Algorithms \ Classic \ Caesar
JCT:dynamic:a3b3aad4;2) Modern Ciphers;JCT:A \ Block Ciphers \ Block Ciphers \ Camellia128_CBC (OID: 1.2.392.200011.61.1.1.1.2)
JCT:dynamic:93ff6856;2) Modern Ciphers;JCT:A \ Block Ciphers \ Block Ciphers \ Camellia192_CBC (OID: 1.2.392.200011.61.1.1.1.3)
JCT:dynamic:879a45d6;2) Modern Ciphers;JCT:A \ Block Ciphers \ Block Ciphers \ Camellia256_CBC (OID: 1.2.392.200011.61.1.1.1.4)
JCT:dynamic:32a4fe8f;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacAES128
JCT:dynamic:9870f799;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacAES192
JCT:dynamic:7ac7666d;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacAES256
JCT:dynamic:8ed651ec;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacCamellia
JCT:dynamic:b8850c95;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacDESede
JCT:dynamic:983b9b06;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacIDEA
JCT:dynamic:e333b05c;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacMARS
JCT:dynamic:dba879c3;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacMisty1
JCT:dynamic:09607e16;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacRC2
JCT:dynamic:853d7743;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacRC5
JCT:dynamic:99f7b096;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacRC6
JCT:dynamic:e9d2a16a;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CBCmacSAFER+
JCT:dynamic:01d7e468;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ 
JCT:dynamic:301dad4f;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Certificate Verification
JCT:dynamic:c6d5224c;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Chinese Remainder Theorem
JCT:dynamic:d476483e;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CmacAES128
JCT:dynamic:a3c367a1;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CmacAES192
JCT:dynamic:58bd89bb;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CmacAES256
JCT:dynamic:30f5787b;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ CmacDESede
JCT:dynamic:60498560;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSS (OID: 1.3.6.1.4.1.8301.3.1.3.2.6)
JCT:dynamic:01f136fe;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA1andWinternitzOTS_1 (OID: 1.3.6.1.4.1.8301.3.1.3.2.1)
JCT:dynamic:257e448d;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA1andWinternitzOTS_2 (OID: 1.3.6.1.4.1.8301.3.1.3.2.2)
JCT:dynamic:b8387c95;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA1andWinternitzOTS_3 (OID: 1.3.6.1.4.1.8301.3.1.3.2.3)
JCT:dynamic:eb0b07d3;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA1andWinternitzOTS_4 (OID: 1.3.6.1.4.1.8301.3.1.3.2.4)
JCT:dynamic:1c5d307c;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA256andWinternitzOTS_1 (OID: 1.3.6.1.4.1.8301.3.1.3.2.5)
JCT:dynamic:a0cbc953;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA256andWinternitzOTS_3 (OID: 1.3.6.1.4.1.8301.3.1.3.2.7)
JCT:dynamic:af5f3190;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA256andWinternitzOTS_4 (OID: 1.3.6.1.4.1.8301.3.1.3.2.8)
JCT:dynamic:cbfbade3;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA384andWinternitzOTS_1 (OID: 1.3.6.1.4.1.8301.3.1.3.2.9)
JCT:dynamic:4a8ce413;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA384andWinternitzOTS_2 (OID: 1.3.6.1.4.1.8301.3.1.3.2.10)
JCT:dynamic:8158b9a3;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ CMSSwithSHA384andWinternitzOTS_3 (OID: 1.
JCT:dynamic:ede65e39;10) Learning Aids and Visualizations;JCT:C \ Protocols \ Coin Flipping
JCT:dynamic:1398fc3b;10) Learning Aids and Visualizations;JCT:T \ Protocols \ Coin Flipping Protocol
JCT:dynamic:59f2e132;3) Hash and MAC Algorithms;JCT:A \ Message Digests \ DHA256
JCT:dynamic:07298cfd;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Differential Power Analysis \ Double and Add
JCT:dynamic:0149db06;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Diffie-Hellman Key Exchange (EC)
JCT:dynamic:aa8c8ed5;13) Protocols;JCT:D \ Visuals \ Diffie-Hellman Key Exchange (EC)
JCT:dynamic:44c2264b;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Signature Demonstration
JCT:dynamic:9c38e446;11) Games;JCT:D \ Games \ Divider Game
JCT:dynamic:961703a4;1) Classic Ciphers;JCT:D \ Algorithms \ Classic \ Double Box
JCT:dynamic:a3510a72;2) Modern Ciphers;JCT:D \ Algorithms \ Symmetric \ Dragon
JCT:dynamic:c69bd0ba;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ RAW \ DSA
JCT:dynamic:04f6ea78;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ RawECDSA
JCT:dynamic:88a81304;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ SHA1 \ ECDSA (OID: 1.2.840.10045.4.1)
JCT:dynamic:8de3c18f;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ SHA224 \ ECDSA (OID: 1.2.840.10045.4.3.1)
JCT:dynamic:85332a35;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ SHA256 \ ECDSA (OID: 1.2.840.10045.4.3.2)
JCT:dynamic:a38f92fc;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ SHA384 \ ECDSA (OID: 1.2.840.10045.4.3.3)
JCT:dynamic:09ca7b1a;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ SHA512 \ ECDSA (OID: 1.2.840.10045.4.3.4)
JCT:dynamic:4e339be5;2) Modern Ciphers;JCT:A \ Hybrid Ciphers \ ECIES
JCT:dynamic:93effaf3;4) Digital Signatures/PKI;JCT:A \ Signatures \ SHA1 \ ECNR
JCT:dynamic:9c65dca9;2) Modern Ciphers;JCT:A \ Asymmetric Block Ciphers \ ElGamal (OID: 1.3.14.7.2.1.1)
JCT:dynamic:56259b3c;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ ElGamal Cryptosystem
JCT:dynamic:a6a947fc;5) Random Number Generators;JCT:A \ Pseudo Random Number Generators \ ECPRNG
JCT:dynamic:fb30f52c;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Elliptic Curve Calculations
JCT:dynamic:b70ed39e;2) Modern Ciphers;JCT:D \ Visualizations \ RSA Cryptosystem
JCT:dynamic:64d2a91e;2) Modern Ciphers;JCT:D \ Visualizations \ Extended RSA Cryptosystem
JCT:dynamic:28252657;6) Classic Cryptanalysis;JCT:D \ Analysis \ Entropy Analysis
JCT:dynamic:737d2d58;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Extended Euclidean \ Reciprocal Subtraction
JCT:dynamic:430fe4b4;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Feige Fiat Shamir
JCT:dynamic:560aafe0;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Fiat Shamir
JCT:dynamic:3c22ca5b;3) Hash and MAC Algorithms;JCT:A \ Message Digests \ FORK256
JCT:dynamic:792ad4f8;6) Classic Cryptanalysis;JCT:D \ Analysis \ Frequency Analysis
JCT:dynamic:37b0d5ee;6) Classic Cryptanalysis;JCT:D \ Analysis \ Friedman Test
JCT:dynamic:086c19d4;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ GMSSwithSHA1 (OID: 1.3.6.1.4.1.8301.3.1.3.3.1)
JCT:dynamic:eb723edf;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ GMSSwithSHA224 (OID: 1.3.6.1.4.1.8301.3.1.3.3.2)
JCT:dynamic:2f916ed9;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ GMSSwithSHA256 (OID: 1.3.6.1.4.1.8301.3.1.3.3.3)
JCT:dynamic:e8a5f2d2;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ GMSSwithSHA384 (OID: 1.3.6.1.4.1.8301.3.1.3.3.4)
JCT:dynamic:2ead6fc3;4) Digital Signatures/PKI;JCT:A \ Signatures \ Signatures \ GMSSwithSHA512 (OID: 1.3.6.1.4.1.8301.3.1.3.3.5)
JCT:dynamic:976c0195;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Graph Isomorphism
JCT:dynamic:d172c41c;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Grille
JCT:dynamic:47e4c87f;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Hash Sensitivity
JCT:dynamic:aac4d40e;3) Hash and MAC Algorithms;Hash \ MD5
JCT:dynamic:a40d0419;3) Hash and MAC Algorithms;Hash \ SHA
JCT:dynamic:7f9d5d36;3) Hash and MAC Algorithms;Hash \ SHA3-Candidates
JCT:dynamic:0141e871;3) Hash and MAC Algorithms;Messages Digests \ 
JCT:dynamic:0dfac99e;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ Hmac (OID: 1.3.6.1.5.5.8.1.2)
JCT:dynamic:76f76941;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacDHA256
JCT:dynamic:d8c1dce2;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacFORK256
JCT:dynamic:3e2a29b8;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacMD4
JCT:dynamic:cdcb8f95;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacMD5 (OID: 1.3.6.1.5.5.8.1.1)
JCT:dynamic:c4213cb5;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacRIPEMD128
JCT:dynamic:4f915380;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacRIPEMD160 (OID: 1.3.6.1.5.5.8.1.4)
JCT:dynamic:a938c378;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacRIPEMD256
JCT:dynamic:f0192ba4;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacRIPEMD320
JCT:dynamic:33c0a566;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacSHA224
JCT:dynamic:3af997e3;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacSHA256
JCT:dynamic:e3ded245;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacSHA384
JCT:dynamic:9afcc841;3) Hash and MAC Algorithms;JCT:A \ Message Authentication Codes \ Message Authentication Codes \ HmacSHA512
JCT:dynamic:947a0d19;10) Learning Aids and Visualizations;JCT:D \ Visualizations \ Homomorphic Encryption
JCT:dynamic:0757660d;9) Codings;JCT:D \ Visualizations \ Huffman Coding
JCT:dynamic:7165d3ee;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ IDEA_ECB (OID: 1.3.6.1.4.1.188.7.1.1.1)
JCT:dynamic:a5cc994e;2) Modern Ciphers;JCT:D \ Block Ciphers \ Block Ciphers \ IDEA_CBC (OID: 1.3.6.1.4.1.188.7.1.1.2)
